timestamp,model,task_id,task_category,trial,terse_prompt,correct,wall_sec,load_sec,ttft_sec,prompt_tokens,eval_tokens,prompt_tps,decode_tps,mem_peak_gb,mem_baseline_gb,prompt_chars,response_chars,expected,error
2026-04-21T10:33:39.434981+00:00,qwen2.5-coder:7b-instruct,fin_pe,finance,0,True,True,0.3999394580023363,0.109166834,0.20232925,60,3,296.5463471050281,36.657526193971364,11.243545532226562,11.243545532226562,105,2,"('num', 15.0, 0.02)",
2026-04-21T10:33:39.841989+00:00,qwen2.5-coder:7b-instruct,fin_pe,finance,1,True,True,0.2020665829986683,0.069683458,0.041628,60,3,1441.3375612568464,35.136537304555354,11.342041015625,11.342041015625,105,2,"('num', 15.0, 0.02)",
2026-04-21T10:33:40.247308+00:00,qwen2.5-coder:7b-instruct,fin_pe,finance,2,True,True,0.24167912499979138,0.099692375,0.044389625,60,3,1351.6671970083098,33.400335147869626,11.35205078125,11.35205078125,105,2,"('num', 15.0, 0.02)",
2026-04-21T10:33:46.314228+00:00,qwen2.5-coder:7b-instruct,fin_pv,finance,0,True,False,5.747978957999294,0.106069,0.20123525,73,128,362.75950659737794,23.773700915083047,11.478363037109375,11.3299560546875,159,345,"('num', 68058, 0.01)",
2026-04-21T10:33:51.964544+00:00,qwen2.5-coder:7b-instruct,fin_pv,finance,1,True,False,5.54389245800121,0.089282708,0.04237875,73,128,1722.561425242604,23.87415540701175,11.476470947265625,11.385421752929688,159,345,"('num', 68058, 0.01)",
2026-04-21T10:33:57.619355+00:00,qwen2.5-coder:7b-instruct,fin_pv,finance,2,True,False,5.5499914579995675,0.106453708,0.041728875,73,128,1749.3881634719364,23.92458765416184,11.693527221679688,11.435134887695312,159,345,"('num', 68058, 0.01)",
2026-04-21T10:34:03.294449+00:00,qwen2.5-coder:7b-instruct,fin_zerocoupon,finance,0,True,False,5.6133574999985285,0.093048708,0.199375167,72,128,361.12822415842794,24.291819711701976,11.444244384765625,11.330368041992188,159,425,"('num', 863.84, 0.01)",
2026-04-21T10:34:08.964867+00:00,qwen2.5-coder:7b-instruct,fin_zerocoupon,finance,1,True,False,5.48171474999981,0.089700625,0.041659875,72,128,1728.2817099187168,24.16447780170043,11.419967651367188,11.336563110351562,159,425,"('num', 863.84, 0.01)",
2026-04-21T10:34:14.616894+00:00,qwen2.5-coder:7b-instruct,fin_zerocoupon,finance,2,True,False,5.5080364999994345,0.1082175,0.039658417,72,128,1815.5036294060853,24.13979979510315,11.432373046875,11.343231201171875,159,425,"('num', 863.84, 0.01)",
2026-04-21T10:34:15.425046+00:00,qwen2.5-coder:7b-instruct,fin_cagr,finance,0,True,False,0.516882333002286,0.110824834,0.19820425,79,6,398.57873885146256,30.13687157484095,11.411788940429688,11.343063354492188,144,5,"('num', 13.95, 0.02)",
2026-04-21T10:34:15.831370+00:00,qwen2.5-coder:7b-instruct,fin_cagr,finance,1,True,False,0.35609833399939816,0.106221959,0.040732875,79,6,1939.4653581413047,29.840156279264335,11.411575317382812,11.411575317382812,144,5,"('num', 13.95, 0.02)",
